role_idx,target_role,education_level_val,branch_match_val,cgpa_norm,experience_years,experience_ratio,core_skill_coverage,secondary_skill_coverage,bonus_skill_count,certification_count,eligibility_score,tier_idx,tier_label
5.0,software-developer,0.92,1.0,7.22,0.0,0.0,0.598,0.587,1.0,2.0,74.4,2,Eligible
0.0,python-developer,0.85,0.75,7.96,3.0,1.5,0.689,0.391,4.0,1.0,80.2,2,Eligible
0.0,python-developer,0.85,1.0,7.56,0.0,0.0,0.64,0.268,2.0,0.0,69.0,2,Eligible
5.0,software-developer,0.85,1.0,6.02,0.0,0.0,0.314,0.04,0.0,0.0,55.0,1,Partially Eligible
2.0,machine-learning-engineer,0.85,0.35,5.49,0.0,0.0,0.331,0.0,2.0,0.0,51.4,0,Foundational / Action Required
1.0,data-analyst,1.0,1.0,9.37,3.0,3.0,0.934,0.679,4.0,4.0,99.0,3,Highly Eligible
1.0,data-analyst,0.85,1.0,8.23,0.0,0.0,0.492,0.437,2.0,1.0,68.4,2,Eligible
1.0,data-analyst,0.65,0.35,6.77,0.0,0.0,0.317,0.082,0.0,0.0,43.6,0,Foundational / Action Required
5.0,software-developer,0.92,0.75,7.89,2.0,1.0,0.503,0.669,2.0,1.0,71.9,2,Eligible
0.0,python-developer,0.85,0.75,8.06,0.0,0.0,0.505,0.486,1.0,1.0,62.5,1,Partially Eligible
5.0,software-developer,0.85,0.75,7.81,5.0,2.5,0.74,0.725,4.0,3.0,92.6,3,Highly Eligible
5.0,software-developer,0.85,0.65,5.94,0.0,0.0,0.161,0.227,1.0,0.0,41.9,0,Foundational / Action Required
4.0,web-developer,0.85,0.75,7.33,2.5,2.5,0.48,0.439,3.0,1.0,65.6,1,Partially Eligible
0.0,python-developer,1.0,1.0,8.99,4.0,2.0,0.786,0.807,3.0,2.0,99.0,3,Highly Eligible
4.0,web-developer,0.92,1.0,8.98,6.0,3.0,0.827,0.892,5.0,2.0,94.1,3,Highly Eligible
3.0,data-scientist,0.85,1.0,8.65,2.0,1.0,1.0,0.576,2.0,1.0,96.5,3,Highly Eligible
0.0,python-developer,0.85,0.65,6.36,2.0,1.0,0.61,0.497,2.0,3.0,76.4,2,Eligible
0.0,python-developer,0.65,0.35,7.15,0.5,0.25,0.052,0.236,0.0,0.0,44.4,0,Foundational / Action Required
0.0,python-developer,0.92,1.0,7.56,4.0,2.0,0.642,0.743,2.0,1.0,83.3,3,Highly Eligible
1.0,data-analyst,0.92,0.75,8.48,2.0,2.0,0.714,0.676,4.0,3.0,87.6,3,Highly Eligible
1.0,data-analyst,0.85,0.75,8.81,0.0,0.0,0.427,0.414,2.0,0.0,60.7,1,Partially Eligible
4.0,web-developer,0.85,0.75,7.95,0.5,0.5,0.601,0.531,2.0,1.0,72.2,2,Eligible
4.0,web-developer,0.85,1.0,6.74,2.5,2.5,0.672,0.378,4.0,3.0,90.2,3,Highly Eligible
0.0,python-developer,0.85,1.0,8.03,2.0,1.0,0.903,0.757,4.0,2.0,95.6,3,Highly Eligible
